	Portugues	Українська	日本語	简体中文	UI language name
1	Policia	Поліція	警察	警察	UI
2	Doutor	Доктор	医者		UI
3	Voce nao pode ir a lugar nenhum.	Ви не можете нікуди виходити.	どこにも行けません。		UI
4	Fechado	Закрито	休業		UI
5	O Mercado de Açoes fica fechado nos fins de semana.	Сьогодні вихідний, біржа не працює.	週末は株式市場は休みです。		UI
6	Banco nao abre nos fins de semana.	Сьогодні вихідний, банк не працює.	週末は銀行は休みです。		UI
7	Estamos prontos para lhe dar um emprestimo de#{global.summa} a <bankpro>% #Nos sacaremos o montante requerido da sua conta todo mes.	Ми готові надати вам кредит у#{global.summa} під <bankpro>%. Ми зніматимемо з вашого рахунку потрібну суму кожен місяць.	金利<bankpro>%で#{global.summa}の融資をご提供する準備ができています。#毎月お客様の口座から必要な金額をお引き落としします。		UI
8	Banco	Банк	銀行		UI
9	Felicidade	Щастя	幸福度		UI
10	Conforto	Комфорт	快適度		UI
11	Estresse	Стрес	ストレス		UI
12	Despesas pessoais	Особисті витрати	個人的経費		UI
13	Despesas medicas	Витрати на лікування	医療費		UI
14	Gastou ontem ~	Учора витрачено ~	昨日の出費～		UI
15	Voce esta sob custodia	Ви під вартою	あなたは拘留されています		UI
16	O estado fornece a voce	Вас забезпечує держава	国からの支給		UI
17	FIM DE JOGO	ГРУ ЗАКІНЧЕНО	ゲームオーバー		UI
18	Sua casa:	"Ваше житло: "	所有住宅：		UI
19	Habitaçao de aluguel (10000 ienes por dia)	Орендоване житло (10000 єн за добу)	賃貸住宅（1泊10,000円）		UI
20	Seu carro:	"Ваша машина: "	所有車：		UI
21	Fortuna:	Загальний статок:	資産：		UI
22	Receita:	"Дохід: "	収入：		UI
23	Despesas:	"Витрати: "	支出：		UI
24	Lucro:	"Прибуток: "	純利益：		UI
25	Taxa de renda:	Податок на доходи	所得税		UI
26	Divida:	"Борг: "	負債：		UI
27	Casa	Головна	ホーム		UI
28	Graficos	Курси	チャート		UI
29	Corretora	Біржа	取引所		UI
30	Mercado de açoes	Фондова біржа	株式市場		UI
31	Facilidades	Послуги	施設		UI
32	Conselheira	Радниця	顧問		UI
33	Imobiliaria	Нерухомість	不動産		UI
34	Carro	Автомобіль	自動車		UI
35	apos vender sua casa	після продажу вашого будинку	所有住宅売却後		UI
36	apos vender sua carro	після продажу вашої машини	所有車売却後		UI
37	Venda	Продаж	売却		UI
38	Compra	Купівля	購入		UI
39	Voce quer vender seu carro por	Ви хочете продати свою машину	次の金額で車を売りますか。		UI
